"","ISO","year","Dummy_Earthquake","Dummy_Drought"
"832","POL",2018,0,1
"833","JPN",2019,1,0
"834","IDN",2019,1,0
"835","KEN",2019,0,1
"836","PAK",2019,0,1
"837","PRK",2019,0,1
"838","IDN",2019,1,0
"839","IDN",2019,1,0
"840","IRN",2019,1,0
"841","PER",2019,1,0
"842","PHL",2019,1,0
"843","PHL",2019,0,1
"844","PNG",2019,1,0
"845","SLB",2016,1,0
"846","TZA",2016,1,0
"847","UGA",2016,1,0
"848","USA",2016,1,0
"849","TUR",2017,1,0
"850","TCD",2017,0,1
"851","CPV",2017,0,1
"852","ZWE",2017,0,1
"853","USA",2017,0,1
"854","ZAF",2017,0,1
"855","SLV",2018,0,1
"856","SLV",2018,1,0
"857","TWN",2018,1,0
"858","URY",2018,0,1
"859","USA",2018,0,1
"860","SLV",2019,1,0
"861","SOM",2019,0,1
"862","BWA",2019,0,1
"863","USA",2019,1,0
"864","ALB",2019,1,0
"865","ALB",2019,1,0
"866","ARG",2019,0,1
"867","CHN",2019,1,0
"868","ECU",2019,1,0
"869","FRA",2019,1,0
"870","IDN",2019,1,0
"871","IDN",2019,1,0
"872","IRN",2019,1,0
"873","LAO",2019,0,1
"874","LKA",2019,0,1
"875","LSO",2019,0,1
"876","PAK",2019,1,0
"877","PHL",2019,1,0
"878","PHL",2019,1,0
"879","PHL",2019,1,0
"880","PHL",2019,1,0
"881","PLW",2015,0,1
"882","SEN",2018,0,1
"883","ZMB",2019,0,1
"884","PHL",2019,1,0
"885","PHL",2019,1,0
"886","SWZ",2019,0,1
"887","THA",2019,0,1
"888","TUR",2019,1,0
"889","VNM",2019,0,1
"890","ZAF",2019,0,1
